machineId,timestamp,Auto_Manual_Status,CHLR023,Common_Alarm_Status,Compressor1_RunHours,Compressor2_RunHours,Compressor_1_Discharge_press,Compressor_1_Fan_speed,Compressor_1_Load,Compressor_1_Suction_press,Compressor_2_Discharge_press,Compressor_2_Fan_speed,Compressor_2_Load,Compressor_2_Suction_press,Condenser_Inlet_Temp,Condenser_Outlet_Temp,Energy_Consumption ValueY,Evaporator_Inlet_Temp,Evaporator_Outlet_Temp,Fault_Status,Flow ValueY,KW ValueY,On_Off_Status ValueY,Outlet_Setpoint_Celsius,Outlet_temperature ValueY,inlet_temperature ValueY,status,Criticality
2828,2026-01-01 05:30:00,,,0.198000,,,301.570000,70.546000,44.942000,101.117000,290.604000,67.398000,84.286000,74.584000,27.839000,29.860000,59672.868000,11.676000,8.161000,,74.077000,27.968000,0.601000,21.766000,0.000000,0.000000,Working,High
2828,2026-01-01 05:45:00,,,0.337000,,,348.073000,75.665000,95.731000,102.509000,284.868000,78.734000,48.266000,96.339000,24.609000,31.919000,59673.003000,12.012000,8.503000,,38.315000,63.743000,0.076000,22.849000,23.366000,24.920000,Working,High
2828,2026-01-01 06:00:00,,,0.735000,,,280.499000,62.061000,89.122000,70.113000,342.672000,30.946000,82.721000,65.457000,28.487000,29.966000,59673.186000,14.734000,6.121000,,62.212000,40.178000,0.125000,23.220000,46.343000,48.377000,Working,High
2828,2026-01-01 06:15:00,,,0.746000,,,351.517000,86.603000,90.189000,66.097000,296.975000,42.003000,88.810000,105.288000,25.399000,30.551000,59673.370000,13.837000,7.803000,,104.515000,70.641000,0.956000,21.061000,71.162000,72.530000,Working,High
2828,2026-01-01 06:30:00,,,0.418000,,,252.969000,85.314000,40.013000,92.188000,283.043000,85.507000,29.199000,79.446000,25.458000,33.806000,59673.642000,10.316000,8.834000,,56.935000,69.923000,0.360000,23.564000,96.860000,100.168000,Working,High
2828,2026-01-01 06:45:00,,,0.743000,,,333.092000,97.533000,69.571000,92.338000,301.742000,78.886000,84.094000,96.103000,27.706000,34.629000,59673.873000,13.784000,7.697000,,59.369000,96.128000,0.494000,22.152000,121.084000,126.352000,Working,High
2828,2026-01-01 07:00:00,,,0.370000,,,351.578000,82.630000,74.768000,112.960000,308.039000,52.033000,34.842000,104.141000,27.739000,33.153000,59674.081000,14.312000,7.319000,,27.206000,68.924000,0.172000,21.178000,143.861000,150.506000,Working,High
2828,2026-01-01 07:15:00,,,0.181000,,,231.732000,32.216000,53.223000,77.518000,366.527000,52.114000,89.601000,114.080000,24.265000,33.069000,59674.387000,12.261000,7.757000,,83.333000,39.540000,0.013000,21.473000,165.779000,177.068000,Working,High
2828,2026-01-01 07:30:00,,,0.480000,,,312.708000,96.230000,59.755000,89.748000,245.859000,93.473000,86.894000,102.960000,27.674000,32.070000,59674.454000,12.746000,8.452000,,114.847000,31.189000,0.449000,23.873000,191.660000,202.344000,Working,High
2828,2026-01-01 07:45:00,,,0.407000,,,338.185000,79.383000,87.789000,100.519000,290.367000,55.991000,35.809000,85.102000,26.322000,33.788000,59674.720000,14.177000,8.053000,,97.149000,23.182000,0.041000,21.753000,215.797000,226.843000,Working,High
