machineId,timestamp,Auto_Manual_Status,CHLR016,Common_Alarm_Status,Compressor1_RunHours,Compressor2_RunHours,Compressor_1_Discharge_press,Compressor_1_Fan_speed,Compressor_1_Load,Compressor_1_Suction_press,Compressor_2_Discharge_press,Compressor_2_Fan_speed,Compressor_2_Load,Compressor_2_Suction_press,Condenser_Inlet_Temp,Condenser_Outlet_Temp,Energy_Consumption ValueY,Evaporator_Inlet_Temp,Evaporator_Outlet_Temp,Fault_Status,Flow ValueY,KW ValueY,On_Off_Status ValueY,Outlet_Setpoint_Celsius,Outlet_temperature ValueY,inlet_temperature ValueY,status,Criticality
2821,2026-01-01 05:30:00,,,0.485000,,,231.464000,67.587000,76.607000,89.264000,277.642000,76.323000,77.752000,114.640000,28.364000,29.584000,40214.383000,14.313000,7.454000,,100.528000,107.728000,0.309000,22.308000,0.000000,0.000000,Working,High
2821,2026-01-01 05:45:00,,,0.970000,,,321.934000,38.155000,44.612000,109.997000,331.546000,34.587000,30.755000,76.739000,27.377000,32.666000,40214.652000,13.706000,8.058000,,85.928000,95.412000,0.627000,22.301000,25.858000,24.054000,Working,High
2821,2026-01-01 06:00:00,,,0.273000,,,344.814000,78.033000,99.004000,66.163000,272.164000,75.570000,97.466000,111.710000,26.292000,33.350000,40214.741000,13.091000,6.422000,,109.393000,81.186000,0.874000,23.975000,50.341000,49.465000,Working,High
2821,2026-01-01 06:15:00,,,0.738000,,,352.036000,38.345000,39.240000,96.799000,285.044000,34.754000,50.525000,90.854000,26.158000,32.455000,40214.932000,10.446000,6.968000,,108.258000,83.732000,0.118000,22.157000,73.367000,69.842000,Working,High
2821,2026-01-01 06:30:00,,,0.408000,,,299.548000,42.994000,92.314000,67.422000,279.264000,47.842000,77.166000,106.235000,26.399000,33.664000,40215.131000,12.261000,6.534000,,51.694000,79.421000,0.880000,21.791000,95.561000,94.385000,Working,High
2821,2026-01-01 06:45:00,,,0.757000,,,247.222000,30.460000,80.152000,99.401000,370.942000,63.368000,82.644000,95.557000,26.573000,32.668000,40215.362000,10.956000,7.241000,,86.003000,108.442000,0.974000,23.524000,116.335000,121.664000,Working,High
2821,2026-01-01 07:00:00,,,0.699000,,,340.005000,61.873000,81.763000,81.715000,285.839000,90.361000,51.004000,103.654000,26.686000,33.650000,40215.607000,11.246000,7.126000,,97.777000,89.774000,0.923000,21.345000,140.262000,144.022000,Working,High
2821,2026-01-01 07:15:00,,,0.271000,,,230.253000,57.030000,55.695000,86.946000,374.770000,52.306000,84.505000,69.733000,27.090000,32.820000,40215.894000,10.166000,7.157000,,116.449000,10.786000,0.125000,22.936000,163.298000,165.694000,Working,High
2821,2026-01-01 07:30:00,,,0.017000,,,275.199000,47.902000,78.322000,104.284000,314.868000,36.023000,59.999000,90.134000,24.168000,32.416000,40216.128000,13.882000,6.139000,,68.909000,29.968000,0.667000,21.320000,187.557000,191.131000,Working,High
2821,2026-01-01 07:45:00,,,0.183000,,,362.536000,67.449000,28.291000,82.836000,248.381000,34.755000,66.076000,70.689000,28.689000,30.746000,40216.199000,13.537000,8.521000,,99.821000,96.157000,0.184000,23.378000,213.351000,212.021000,Working,High
