machineId,timestamp,Auto_Manual_Status,CHLR026,Common_Alarm_Status,Compressor1_RunHours,Compressor2_RunHours,Compressor_1_Discharge_press,Compressor_1_Fan_speed,Compressor_1_Load,Compressor_1_Suction_press,Compressor_2_Discharge_press,Compressor_2_Fan_speed,Compressor_2_Load,Compressor_2_Suction_press,Condenser_Inlet_Temp,Condenser_Outlet_Temp,Energy_Consumption ValueY,Evaporator_Inlet_Temp,Evaporator_Outlet_Temp,Fault_Status,Flow ValueY,KW ValueY,On_Off_Status ValueY,Outlet_Setpoint_Celsius,Outlet_temperature ValueY,inlet_temperature ValueY,status,Criticality
2831,2026-01-01 05:30:00,,,0.731000,,,308.418000,42.719000,51.889000,98.134000,293.328000,35.864000,30.400000,109.763000,25.869000,34.668000,187159.796000,12.470000,8.700000,,99.696000,109.691000,0.095000,22.943000,0.000000,0.000000,Working,High
2831,2026-01-01 05:45:00,,,0.566000,,,223.228000,57.791000,57.779000,78.753000,269.879000,65.673000,28.632000,95.134000,24.598000,32.077000,187159.857000,12.978000,6.612000,,100.336000,107.978000,0.239000,21.889000,25.897000,26.808000,Working,High
2831,2026-01-01 06:00:00,,,0.758000,,,314.398000,98.269000,30.667000,83.259000,328.586000,36.847000,62.944000,87.651000,24.628000,32.973000,187159.946000,12.010000,7.814000,,65.017000,111.836000,0.554000,23.477000,47.195000,50.920000,Working,High
2831,2026-01-01 06:15:00,,,0.252000,,,283.716000,77.715000,83.687000,113.738000,332.724000,38.628000,62.376000,72.130000,28.342000,30.982000,187160.199000,14.142000,8.799000,,59.729000,105.772000,0.837000,21.524000,68.802000,76.948000,Working,High
2831,2026-01-01 06:30:00,,,0.785000,,,307.546000,59.993000,75.452000,101.277000,355.047000,97.771000,86.976000,101.466000,28.771000,31.955000,187160.391000,12.960000,8.421000,,98.505000,33.638000,0.219000,22.108000,94.401000,102.171000,Working,High
2831,2026-01-01 06:45:00,,,0.865000,,,311.568000,97.084000,42.643000,78.041000,281.315000,83.918000,54.180000,76.358000,28.573000,33.715000,187160.569000,12.890000,6.569000,,93.203000,51.350000,0.542000,23.261000,119.556000,123.862000,Working,High
2831,2026-01-01 07:00:00,,,0.203000,,,309.684000,49.822000,60.615000,101.995000,292.832000,78.426000,62.300000,70.090000,29.172000,31.858000,187160.828000,13.737000,8.717000,,109.173000,66.782000,0.899000,23.171000,142.550000,145.997000,Working,High
2831,2026-01-01 07:15:00,,,0.221000,,,282.579000,32.338000,55.993000,83.221000,273.900000,75.610000,93.431000,88.975000,28.311000,30.955000,187161.042000,11.542000,7.710000,,49.137000,34.365000,0.841000,23.353000,166.682000,172.537000,Working,High
2831,2026-01-01 07:30:00,,,0.565000,,,271.210000,63.273000,79.838000,84.939000,322.417000,47.139000,34.549000,112.813000,26.814000,33.416000,187161.329000,11.556000,6.558000,,67.140000,79.764000,0.799000,21.144000,187.603000,194.836000,Working,High
2831,2026-01-01 07:45:00,,,0.984000,,,355.392000,57.165000,61.385000,70.804000,302.131000,39.951000,68.669000,110.553000,27.346000,33.532000,187161.587000,10.100000,6.149000,,88.813000,101.426000,0.615000,23.053000,211.465000,218.000000,Working,High
